"data_base" "V1" "modalidade" "origem" "porte" "cliente" "carteira_ativa" "carteira_inadimplida_arrastada" "ativo_problematico" "a_vencer_ate_90_dias" "a_vencer_de_91_ate_360_dias" "a_vencer_de_361_ate_1080_dias" "a_vencer_de_1081_ate_1800_dias" "a_vencer_de_1801_ate_5400_dias" "a_vencer_acima_de_5400_dias" "Taxa_de_juros_Selic_acumulada_no_mes" "Selic_fixada.pelo_Copom" "IBC_Br_indice"
2012-06-30 86 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 229216857.02 19326356.64 26128474.31 19689050.47 139973038.89 23677084.78 2759095.21 30196577.36 0 0.64 8.5 142.28
2012-06-30 87 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 660399627.03 15066024.56 53539418.44 141463863.17 342519194.19 94044543.49 20509446.84 40217051.14 0 0.64 8.5 142.28
2012-06-30 88 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 137983650.44 8786161.17 15906690.71 9857407.17 72932261.13 26498114.1 2885037.5 19726920.5 0 0.64 8.5 142.28
2012-06-30 89 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 165840499.87 11809972.77 20662199.96 29581195.89 70819068.65 21963982.66 4931101.84 29153453.47 0 0.64 8.5 142.28
2012-06-30 90 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 352644609.69 16758883.77 37200010.7 62925386.6 180077786.96 41176216.19 11115385.34 42033817.5 0 0.64 8.5 142.28
2012-06-30 91 "PF - Rural e agroindustrial" "Sem destinação específica" "PF - Sem rendimento" "PF" 1609536173.2 36946124.86 135709803.65 303977437.4 646220644.8 370447486.84 167349323.71 74236854.78 5968834.79 0.64 8.5 142.28
2012-06-30 92 "PF - Veículos" "Com destinação específica" "PF - Acima de 20 salários mínimos" "PF" 464687794.35 13141907.48 16423519.06 42864814.9 120752660.58 227902203.47 70371198.83 96522.11 0 0.64 8.5 142.28
2012-06-30 93 "PF - Veículos" "Com destinação específica" "PF - Até 1 salário mínimo" "PF" 1823561.47 0 0 158511.39 462674.5 850944.27 349740.11 1691.2 0 0.64 8.5 142.28
2012-06-30 94 "PF - Veículos" "Com destinação específica" "PF - Indisponível" "PF" 40697663.25 332647.05 992454.69 4063958.87 11104010.08 22409031.79 3017445.66 0 0 0.64 8.5 142.28
2012-06-30 95 "PF - Veículos" "Com destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 1981921.63 98338.57 116114.5 197610.83 537489.73 973734.11 241014.92 0 0 0.64 8.5 142.28
2012-06-30 96 "PF - Veículos" "Com destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 62214767.1 1162571.36 1477036.81 6056886.51 16932640.06 30528621.29 8398104.13 7587.51 0 0.64 8.5 142.28
2012-06-30 97 "PF - Veículos" "Com destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 3838748.43 0 120716.12 363042.05 995533.6 1910070.16 570102.62 0 0 0.64 8.5 142.28
2012-06-30 98 "PF - Veículos" "Com destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 9206533.31 137546.84 154524.45 849894.19 2333919.6 4583779.99 1403953.73 0 0 0.64 8.5 142.28
2012-06-30 99 "PF - Veículos" "Com destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 19791037.31 244105.98 471582.87 2009781.67 5513136.99 9673440.05 2524780.82 974.54 0 0.64 8.5 142.28
2012-06-30 100 "PF - Veículos" "Com destinação específica" "PF - Sem rendimento" "PF" 86614780.69 1170198.15 1920562.31 7148039.82 20676572.46 44048463.91 14347969.18 14225.47 0 0.64 8.5 142.28
2012-06-30 101 "PF - Veículos" "Sem destinação específica" "PF - Acima de 20 salários mínimos" "PF" 24887080374.17 1876410142.85 2512706927.53 2642159225.82 6881472840.37 10856488968.69 3488310926.47 4563958.89 6749.08 0.64 8.5 142.28
2012-06-30 102 "PF - Veículos" "Sem destinação específica" "PF - Até 1 salário mínimo" "PF" 19026749592.31 1993071708.75 2632736356.87 1851694691.65 4999285565.31 9248409971.52 2244045150.08 1472232.68 0 0.64 8.5 142.28
2012-06-30 103 "PF - Veículos" "Sem destinação específica" "PF - Indisponível" "PF" 4774353874.8 202858620.33 303024901.75 712144686.39 1741955642.44 2057583717.3 189134501.68 0 0 0.64 8.5 142.28
2012-06-30 104 "PF - Veículos" "Sem destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 21872169649.68 1562936785.3 2174935846.1 2363296709.08 6279907651.21 10371467907.43 2186853895.64 1763920.88 0 0.64 8.5 142.28
2012-06-30 105 "PF - Veículos" "Sem destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 17683174358.4 685292209.89 966825817.43 2234907582.52 5755325952.46 8014940928.4 1363518521.63 1634666.96 0 0.64 8.5 142.28
2012-06-30 106 "PF - Veículos" "Sem destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 17809245679.38 1077839939.53 1484885158.67 2116408517.22 5510329719.73 8224008008.64 1447878713.13 1935115.6 0 0.64 8.5 142.28
2012-06-30 107 "PF - Veículos" "Sem destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 28064304054.54 1541952183.68 2056648617.28 3179685598.99 8391183293.91 13239198974.97 2574271610.18 2783725.08 0 0.64 8.5 142.28
